,제목,청원시작일,청원종료일,참여인원,청원답변일,URL
116,포항 약국 칼부림 사건의 가해 남성을 제대로 처벌하라.,2018. 11. 18,2018. 12. 18,"142,715",2018. 12. 11,https://www1.president.go.kr/petitions/445550
117,5년 전 여성의 질과 항문에 팔을 넣어 사망에 이르게 한 사건의 재조사를 요구합니다,2018. 10. 22,2018. 11. 21,"256,004",2018. 12. 11,https://www1.president.go.kr/petitions/414891
118,"132cm, 31kg의 왜소한 50대 여성이 180cm가 넘는 건장한 20세 남성에게 아무런 이유없이 끔찍한 폭행을 당해 숨졌습니다.",2018. 10. 31,2018. 11. 30,"416,093",2018. 12. 11,https://www1.president.go.kr/petitions/426834
119,강서구 피시방 살인 사건. 또 심신미약 피의자입니다.,2018. 10. 17,2018. 11. 16,"1,192,049",2018. 12. 11,https://www1.president.go.kr/petitions/408609
120,강서구 아파트 살인사건 피해차의 딸입니다.,2018. 10. 23,2018. 11. 22,"214,306",2018. 12. 07,https://www1.president.go.kr/petitions/417147
121,성범죄피해자의 집주소와 주민번호등을 가해자에게 보내는 법원을 막아주세요,2018. 10. 04,2018. 11. 03,"257,471",2018. 11. 16,https://www1.president.go.kr/petitions/398030
122,인천 여중생 자살 가해자 강력 처벌 희망 요망,2018. 09. 19,2018. 10. 19,"234,236",2018. 11. 16,https://www1.president.go.kr/petitions/384676
123,최**과 이하 비슷한 리벤지포르노 범들 강력징역해주세요.,2018. 10. 04,2018. 11. 03,"275,806",2018. 10. 21,https://www1.president.go.kr/petitions/397558
124,음주운전 교통사고로 친구 인생이 박살났습니다. 제발 도와주세요,2018. 10. 02,2018. 11. 01,"406,655",2018. 10. 21,https://www1.president.go.kr/petitions/395955
125,제 남편의 억울함을 풀어주세요!,2018. 09. 06,2018. 10. 06,"330,587",2018. 10. 12,https://www1.president.go.kr/petitions/369690
126,웹하드 카르텔과 디지털성범죄 산업에 대해 특별 수사를 요구한다.,2018. 07. 29,2018. 08. 28,"208,543",2018. 09. 27,https://www1.president.go.kr/petitions/322420
127,23개월 아기가 폭행에 장이 끊어져 죽었습니다.,2018. 07. 22,2018. 08. 21,"413,924",2018. 09. 12,https://www1.president.go.kr/petitions/314584
128,여고생이  중고생8명에게 관악산끌려가 집단폭행을당했습니다  소년법폐지또는 개정청원합니다,2018. 07. 03,2018. 08. 02,"208,202",2018. 08. 23,https://www1.president.go.kr/petitions/294226
129,"가해자들은 떳떳이 생활하고, 집단 성폭행 당한 피해자인 저희아이는 오히려 더 죄인같이 생활하고 있습니다. 미성년자 성폭행범 처벌을 더 강하하여 주세요.",2018. 06. 24,2018. 07. 24,"354,935",2018. 08. 23,https://www1.president.go.kr/petitions/282903
130,"표창원 의원의 개, 고양이 도살 금지 법안을 통과 시켜주세요!",2018. 06. 24,2018. 07. 24,"212,424",2018. 08. 10,https://www1.president.go.kr/petitions/281200
131,개.고양이 식용종식 전동연(개를 가축에서 제외하라),2018. 06. 17,2018. 07. 17,"214,634",2018. 08. 10,https://www1.president.go.kr/petitions/272632
132,디스패치 폐간을 요청합니다,2018. 06. 26,2018. 07. 26,"211,296",2018. 08. 08,https://www1.president.go.kr/petitions/284845
133,남편선교사가 안티폴로감옥에 있습니다. (필리핀),2018. 06. 17,2018. 07. 17,"207,275",2018. 08. 03,https://www1.president.go.kr/petitions/273112
134,"제주도 불법 난민 신청 문제에 따른 난민법, 무사증 입국, 난민신청허가 폐지/개헌 청원합니다.",2018. 06. 13,2018. 07. 13,"714,875",2018. 08. 01,https://www1.president.go.kr/petitions/269548
135,문재인 대통령님께 청원합니다.,2018. 05. 25,2018. 06. 24,"224,539",2018. 07. 24,https://www1.president.go.kr/petitions/242950
